[0.000000] (-) TimerEvent: {}
[0.000151] (-) JobUnselected: {'identifier': 'control'}
[0.000183] (-) JobUnselected: {'identifier': 'dynamixel_workbench_toolbox'}
[0.000207] (-) JobUnselected: {'identifier': 'interbotix_common_modules'}
[0.000229] (-) JobUnselected: {'identifier': 'interbotix_common_sim'}
[0.000251] (-) JobUnselected: {'identifier': 'interbotix_common_toolbox'}
[0.000271] (-) JobUnselected: {'identifier': 'interbotix_gravity_compensation'}
[0.000292] (-) JobUnselected: {'identifier': 'interbotix_moveit_interface'}
[0.000312] (-) JobUnselected: {'identifier': 'interbotix_moveit_interface_msgs'}
[0.000332] (-) JobUnselected: {'identifier': 'interbotix_perception_modules'}
[0.000352] (-) JobUnselected: {'identifier': 'interbotix_perception_msgs'}
[0.000372] (-) JobUnselected: {'identifier': 'interbotix_perception_pipelines'}
[0.000392] (-) JobUnselected: {'identifier': 'interbotix_perception_toolbox'}
[0.000412] (-) JobUnselected: {'identifier': 'interbotix_ros_xsarms'}
[0.000431] (-) JobUnselected: {'identifier': 'interbotix_ros_xsarms_examples'}
[0.000451] (-) JobUnselected: {'identifier': 'interbotix_ros_xseries'}
[0.000471] (-) JobUnselected: {'identifier': 'interbotix_tf_tools'}
[0.000491] (-) JobUnselected: {'identifier': 'interbotix_xs_driver'}
[0.000510] (-) JobUnselected: {'identifier': 'interbotix_xs_modules'}
[0.000529] (-) JobUnselected: {'identifier': 'interbotix_xs_msgs'}
[0.000550] (-) JobUnselected: {'identifier': 'interbotix_xs_ros_control'}
[0.000569] (-) JobUnselected: {'identifier': 'interbotix_xs_rviz'}
[0.000588] (-) JobUnselected: {'identifier': 'interbotix_xs_sdk'}
[0.000608] (-) JobUnselected: {'identifier': 'interbotix_xs_toolbox'}
[0.000627] (-) JobUnselected: {'identifier': 'interbotix_xsarm_control'}
[0.000646] (-) JobUnselected: {'identifier': 'interbotix_xsarm_descriptions'}
[0.000666] (-) JobUnselected: {'identifier': 'interbotix_xsarm_dual'}
[0.000693] (-) JobUnselected: {'identifier': 'interbotix_xsarm_gravity_compensation'}
[0.000833] (-) JobUnselected: {'identifier': 'interbotix_xsarm_joy'}
[0.000848] (-) JobUnselected: {'identifier': 'interbotix_xsarm_moveit'}
[0.000857] (-) JobUnselected: {'identifier': 'interbotix_xsarm_moveit_interface'}
[0.000865] (-) JobUnselected: {'identifier': 'interbotix_xsarm_perception'}
[0.000876] (-) JobUnselected: {'identifier': 'interbotix_xsarm_puppet'}
[0.000884] (-) JobUnselected: {'identifier': 'interbotix_xsarm_ros_control'}
[0.000891] (-) JobUnselected: {'identifier': 'interbotix_xsarm_sim'}
[0.000898] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000906] (-) JobUnselected: {'identifier': 'omni_broadcaster'}
[0.000913] (-) JobUnselected: {'identifier': 'omni_common'}
[0.000920] (-) JobUnselected: {'identifier': 'omni_description'}
[0.000928] (-) JobUnselected: {'identifier': 'omni_msgs'}
[0.000935] (-) JobUnselected: {'identifier': 'test1'}
[0.000942] (-) JobUnselected: {'identifier': 'wx250_bringup'}
[0.000949] (-) JobUnselected: {'identifier': 'wx250_geomagic_teleop'}
[0.000957] (-) EventReactorShutdown: {}
